Wardname	Children	Greaterthan65	nonwhite	NotBorninUK	NotEnglishspeaking
Westminster - Abbey Road	17.4577777777778	14	35.4	56.9	20.4
Hackney - Lordship	27.4511400651466	8.4	30.5	31.4	13.1
Merton - Trinity	16.9320269442743	8.2	22.2	36.1	9.8
Camden - Frognal & Fitzjohns	17.9125646587686	14	25.8	48.5	14.6
Westminster - Hyde Park	12.7427379232868	9.9	44.7	64.2	34.1
Newham - East Ham Central	22.4539800213608	7.1	81.9	61.4	29.1
Lambeth - Prince's	16.8980507642687	9.3	43.4	38.5	12.4
Ealing - Hobbayne	22.6017288635884	11.3	37.7	40.7	17.2
Bromley - Biggin Hill	18.9528690583861	16.3	4.1	5.1	.5
Lambeth - Saint Leonard's	17.0378006872852	7.6	38.9	40.4	15.8
Bromley - West Wickham	19.8535339962376	19.7	10.6	9.7	1.3
Islington - Clerkenwell	12.236727589208	8.2	29.3	38.5	12.6
Lewisham - Whitefoot	25.791283598849	11.3	50.5	29.5	6.8
Wandsworth - West Hill	18.8452627728326	9.5	31.7	43.5	13.5
Waltham Forest - Markhouse	23.166617776474	7.8	58.2	45.8	19
Redbridge - Chadwell	24.6685838535456	10.3	56.9	31.6	9.9
Harrow - Kenton East	18.737654875202	12.4	73.4	57.1	24.7
Enfield - Chase	22.1915419270455	13.2	23.4	21	7
Lewisham - Perry Vale	20.6876680752977	9.6	42.5	30.5	7.2
Kensington & Chelsea - Stanley	14.5840967387321	14.5	19	48.7	19.3
Barnet - Garden Suburb	20.3653713353004	16.3	21.4	36	10.9
Islington - Hillrise	19.2470747837884	9	33.7	32.9	10.4
Sutton - Nonsuch	18.5508880744291	17.3	15.3	15.7	3.6
Brent - Mapesbury	16.066713890141	8.3	43.4	52.3	21.3
Lewisham - Evelyn	23.2006263928206	6	60.9	44.8	16
Harrow - Roxeth	22.8414644602589	11	66.3	48.4	19.8
Hammersmith & Fulham - Fulham Reach	12.6039271183442	8.5	30.5	43.6	14
Merton - Ravensbury	21.2479935794543	13.5	38.9	36	13.1
Newham - Royal Docks	21.0693885195243	4	54.1	48.3	18.1
Kensington & Chelsea - Earl's Court	11.4674868189807	8.8	35.4	61	29.6
Enfield - Jubilee	23.7965865552072	11.9	50.9	40.8	16.9
Barking & Dagenham - Whalebone	23.6501182033097	11.6	44	29.2	8.4
Greenwich - Charlton	21.8143899895725	10.7	36.2	31	9.4
Newham - Forest Gate North	21.2708371778311	6.9	64.1	50.5	21
Hackney - De Beauvoir	16.1034962984681	7	39.9	37.8	11.7
Hammersmith & Fulham - Askew	17.2175141242938	7.8	37	42.5	14.8
Brent - Fryent	20.8627742655262	11.8	62.7	55.9	21.9
Brent - Dudden Hill	20.3997609403015	9.7	55.9	56.2	23.8
Bexley - Cray Meadows	20.5139644864817	17.6	11	9.9	2.3
Kingston upon Thames - Saint Mark's	11.0750739292187	8.2	21.3	29.1	8.9
Newham - Forest Gate South	19.4102061974427	6.5	68.2	54.8	25.5
Greenwich - Coldharbour & New Eltham	18.6112387077017	16.9	18.3	15.6	3.6
Ealing - Northolt Mandeville	23.5065533820721	10.7	51.7	44.1	19.5
Ealing - East Acton	19.2505078584411	8.2	50.1	54.4	22.4
Lambeth - Tulse Hill	21.0259336757339	6.6	52.6	38.6	11.3
Richmond upon Thames - West Twickenham	21.7895136778116	11.7	16	21.1	4.4
Ealing - Cleveland	21.7062783349361	11.9	36.9	39.6	15.1
Sutton - Worcester Park	20.7893607893608	13.4	20	21.5	6.1
Enfield - Highlands	16.9075811164078	18.5	20.8	20.9	5.4
Hackney - Brownswood	14.4351275809215	6.2	38.2	42.7	18.6
Barking & Dagenham - Goresbrook	26.5643028312772	10	33.3	26.8	7.7
Brent - Queensbury	20.0857802705378	12.2	72.9	57.7	24.1
Waltham Forest - Hale End & Highams Park	22.7300748568912	11.4	33.1	21.8	5.9
Wandsworth - Latchmere	18.9608021877849	8.5	44.5	39.7	11.5
Redbridge - Aldborough	23.0060506050605	12.4	61.3	38.4	12.8
Merton - Cricket Green	23.3135785253617	10.8	47.5	39.5	14.5
Haringey - Tottenham Hale	23.6457780138078	7.8	57.4	53.5	22.3
Newham - East Ham South	27.8523274478331	7.4	67.7	46.6	19.7
Kensington & Chelsea - Hans Town	12.590991810737	14.6	23.5	55.6	24.8
Croydon - Selhurst	24.5535467462819	8.7	65.6	40.1	11.5
Redbridge - Goodmayes	24.0875353890887	8	75.2	46.3	18.5
Southwark - Peckham	24.2663043478261	6.2	70.8	47.6	12.3
Enfield - Bush Hill Park	18.0205415499533	17.2	26.8	25.7	7.7
Bexley - Thamesmead East	27.1622292045642	6.8	52.7	38.1	7.6
Enfield - Edmonton Green	27.9737032703772	8.4	60.6	46.8	21.4
Bromley - Plaistow & Sundridge	19.6270334611824	14.8	19.3	16.9	3.9
Tower Hamlets - Spitalfields & Banglatown	13.7079525568734	5.6	54.7	50.7	24.6
Brent - Harlesden	25.8652837664608	8	67	52.9	23
Lewisham - Grove Park	20.8287820862916	12.6	37.5	26.9	7
Redbridge - Valentines	24.0317213056716	8.7	77.6	50.3	21
Ealing - Greenford Broadway	23.4439716312057	11	57.3	48.6	22.2
Havering - Mawneys	19.4192799070848	18.1	11.5	9.3	2.5
Waltham Forest - Leytonstone	16.4220824598183	7.5	47.6	42.6	15.4
Ealing - Ealing Broadway	14.5484353838477	11.9	30.5	44.3	18.6
Islington - Canonbury	17.3376408217363	9.7	28.2	29.7	9.1
Camden - Hampstead Town	17.4977817213842	15.9	20	40.9	10.4
Havering - Upminster	16.7770591443934	22.5	4.8	6.1	.9
Barking & Dagenham - Longbridge	22.9656734622757	11.6	57.4	33.3	11.9
Harrow - Rayners Lane	20.631067961165	13.9	65.5	48	17.6
Haringey - Woodside	19.1883698498002	8.5	43.2	54.2	25.6
Camden - Swiss Cottage	16.4883720930233	11.6	32.4	51.2	17.8
Ealing - South Acton	20.4531701741411	11.1	43.5	50.5	23.4
Hounslow - Brentford	17.9126315056086	9.9	33.9	38.3	15
Merton - Cannon Hill	17.7316466645043	15.8	25.4	29.6	7.7
Enfield - Haselbury	25.4196642685851	9.3	54.3	46	22.1
Wandsworth - Bedford	14.6415094339623	7.5	27.6	30.3	8.3
Hillingdon - Pinkwell	26.3357486286991	8.6	68.2	45.3	18.5
Kensington & Chelsea - Cremorne	15.5826217980914	15.3	32.5	44.4	17.2
Tower Hamlets - Bow West	19.2596027513718	7.8	40.7	32	11.3
Wandsworth - Tooting	17.9075066198658	9	52.7	45.4	15.2
Hounslow - Isleworth	21.3242047257243	9.8	34.8	33.8	11.7
Southwark - Faraday	23.2416854895241	7	60.7	45.9	14.6
Kingston upon Thames - Surbiton Hill	16.7033177167989	13.5	19	25	7
Greenwich - Peninsula	16.9240623443171	8.3	30.6	33	10.4
Southwark - Surrey Docks	12.1697059918124	5.7	30.9	42.7	15.4
Enfield - Enfield Lock	27.2876313073046	8.2	45.1	33.8	14
Tower Hamlets - Bethnal Green South	19.709162784131	5.3	64.3	45.5	23.1
Newham - Beckton	21.9932633247474	4.8	54.2	49.7	23.5
Southwark - Peckham Rye	20.2914632342062	8	35.8	28.8	5.9
Bromley - Darwin	18.3170254403131	21.9	4.8	6.1	.4
Ealing - Southall Broadway	21.1846119502939	10.5	93.7	64.1	36
Bexley - Falconwood & Welling	19.1111111111111	15.7	15.4	12.4	2.6
Haringey - Stroud Green	16.2782786188127	6.9	25.9	31.3	9
Southwark - Chaucer	14.8240874950586	5.2	49.9	45.2	13.3
Hounslow - Cranford	21.3787510137875	10.1	73.9	56.2	26.5
Camden - Kilburn	17.311845821565	11.2	40.1	47.9	18.7
Hackney - Chatham	21.9543530834341	6.9	54.4	41.3	14.4
Bromley - Cray Valley East	22.1819359015863	15.9	14.6	12.3	2.5
Waltham Forest - Wood Street	23.3019150209455	9.2	50.4	38.7	14.4
Enfield - Grange	17.6095680226611	18.8	19.6	22.1	6.4
Tower Hamlets - Saint Katherine's & Wapping	13.6652969140279	6.1	37.6	41.5	15.9
Sutton - Sutton North	20.1352003862868	16.5	21.9	21.1	6.1
Westminster - Marylebone High Street	8.52787960640556	11.7	27.8	58.5	21.8
Croydon - Fairfield	17.5870601726115	11.7	48.7	42.3	13.7
Bexley - Erith	23.6372687297768	11.7	31.4	23.1	5.6
Islington - Highbury West	15.189620758483	6.7	32.1	34.5	12.8
Ealing - Hanger Hill	18.9705031810295	12.8	43.1	53.1	23.8
Wandsworth - Nightingale	16.2068260780707	9.5	21.4	27.7	6.7
Sutton - Sutton South	14.8765496405876	17.5	24.4	29.4	9.7
Lewisham - Catford South	21.4670698041278	11.3	56.2	32.2	7.1
Waltham Forest - Cathall	21.3622047244094	6.8	61	50.1	20
Redbridge - Mayfield	24.2612638970158	11.6	73.3	41.1	13.5
Kingston upon Thames - Tudor	22.9379828774274	13.6	17.6	23.9	6.1
Hackney - Wick	22.3197545594	7.9	51.6	35.1	10.9
Kensington & Chelsea - Courtfield	12.5153923653868	9.1	24.8	61.4	28.3
Harrow - Roxbourne	24.4543186778921	9.8	66.3	48.4	20.9
Haringey - Hornsey	18.1293941069595	8.2	31	32.2	10.5
Waltham Forest - Endlebury	18.6113699906803	16.9	22.4	17.5	3.8
Hounslow - Bedfont	22.2344697267932	11.2	35.7	31	12.5
Southwark - Camberwell Green	21.1881319850985	7.4	61.1	46.8	13.4
Southwark - Riverside	12.4461431549687	6.4	31.2	40.5	12.7
Westminster - Regent's Park	15.2979199469628	16.3	43.7	59.9	23.7
Merton - Graveney	18.2457212713936	10.9	57.5	54.1	23.1
Bromley - Hayes & Coney Hall	20.0427511630831	17.9	8.3	8.7	1
